round,shuffle_role,period_length,num_subperiods,pure_strategy,show_at_worst,show_best_response,rate_limit,payoff1Aa,payoff1Ab,payoff1Ba,payoff1Bb,payoff2Aa,payoff2Ab,payoff2Ba,payoff2Bb
1,TRUE,90,15,TRUE,FALSE,FALSE,0,300,0,500,100,300,500,0,100
2,FALSE,90,15,FALSE,FALSE,FALSE,0,300,0,500,100,300,500,0,100
3,FALSE,90,9,TRUE,FALSE,FALSE,0,100,0,0,50,50,0,0,100
4,FALSE,90,0,TRUE,FALSE,FALSE,0,100,0,0,50,50,0,0,100
5,FALSE,90,0,TRUE,FALSE,FALSE,0,100,0,0,50,50,0,0,100
6,FALSE,90,9,TRUE,FALSE,FALSE,0,100,0,80,70,100,80,0,70
7,FALSE,90,0,TRUE,FALSE,FALSE,0,100,0,80,70,100,80,0,70
8,FALSE,90,0,TRUE,FALSE,FALSE,0,100,0,80,70,100,80,0,70
9,FALSE,90,9,FALSE,FALSE,FALSE,0,100,0,0,50,50,0,0,100
10,FALSE,90,9,FALSE,FALSE,FALSE,0,100,0,0,50,50,0,0,100
11,FALSE,90,0,FALSE,FALSE,FALSE,0,100,0,0,50,50,0,0,100
12,FALSE,90,0,FALSE,FALSE,FALSE,0,100,0,0,50,50,0,0,100
13,FALSE,90,9,FALSE,FALSE,FALSE,0,100,0,80,70,100,80,0,70
14,FALSE,90,9,FALSE,FALSE,FALSE,0,100,0,80,70,100,80,0,70
15,FALSE,90,0,FALSE,FALSE,FALSE,0,100,0,80,70,100,80,0,70
16,FALSE,90,0,FALSE,FALSE,FALSE,0,100,0,80,70,100,80,0,70
17,TRUE,90,0,FALSE,FALSE,FALSE,0,100,0,80,70,100,80,0,70
18,FALSE,90,0,FALSE,FALSE,FALSE,0,100,0,80,70,100,80,0,70
19,FALSE,90,9,FALSE,FALSE,FALSE,0,100,0,80,70,100,80,0,70
20,FALSE,90,9,FALSE,FALSE,FALSE,0,100,0,80,70,100,80,0,70
21,FALSE,90,0,FALSE,FALSE,FALSE,0,100,0,0,50,50,0,0,100
22,FALSE,90,0,FALSE,FALSE,FALSE,0,100,0,0,50,50,0,0,100
23,FALSE,90,9,FALSE,FALSE,FALSE,0,100,0,0,50,50,0,0,100
24,FALSE,90,9,FALSE,FALSE,FALSE,0,100,0,0,50,50,0,0,100
25,FALSE,90,0,TRUE,FALSE,FALSE,0,100,0,80,70,100,80,0,70
26,FALSE,90,0,TRUE,FALSE,FALSE,0,100,0,80,70,100,80,0,70
27,FALSE,90,9,TRUE,FALSE,FALSE,0,100,0,80,70,100,80,0,70
28,FALSE,90,0,TRUE,FALSE,FALSE,0,100,0,0,50,50,0,0,100
29,FALSE,90,0,TRUE,FALSE,FALSE,0,100,0,0,50,50,0,0,100
30,FALSE,90,9,TRUE,FALSE,FALSE,0,100,0,0,50,50,0,0,100
