round,shuffle_role,period_length,num_subperiods,pure_strategy,show_at_worst,show_best_response,rate_limit,payoff1Aa,payoff1Ab,payoff1Ba,payoff1Bb,payoff2Aa,payoff2Ab,payoff2Ba,payoff2Bb
1,FALSE,90,0,TRUE,TRUE,FALSE,2,800,0,0,200,0,200,200,0
2,FALSE,90,0,TRUE,FALSE,TRUE,2,800,0,0,200,0,200,200,0
3,FALSE,90,0,TRUE,TRUE,TRUE,2,800,0,0,200,0,200,200,0
4,FALSE,90,0,TRUE,TRUE,FALSE,6,800,0,0,200,0,200,200,0
5,FALSE,90,0,TRUE,FALSE,TRUE,6,800,0,0,200,0,200,200,0
6,FALSE,90,0,TRUE,TRUE,TRUE,6,800,0,0,200,0,200,200,0
7,FALSE,90,0,FALSE,TRUE,FALSE,2,800,0,0,200,0,200,200,0
8,FALSE,90,0,FALSE,FALSE,TRUE,2,800,0,0,200,0,200,200,0
9,FALSE,90,0,FALSE,TRUE,TRUE,2,800,0,0,200,0,200,200,0
10,FALSE,90,0,FALSE,TRUE,FALSE,6,800,0,0,200,0,200,200,0
11,FALSE,90,0,FALSE,FALSE,TRUE,6,800,0,0,200,0,200,200,0
12,FALSE,90,0,FALSE,TRUE,TRUE,6,800,0,0,200,0,200,200,0
13,FALSE,90,15,TRUE,TRUE,FALSE,2,800,0,0,200,0,200,200,0
14,FALSE,90,15,TRUE,FALSE,TRUE,2,800,0,0,200,0,200,200,0
15,FALSE,90,15,TRUE,TRUE,TRUE,2,800,0,0,200,0,200,200,0
16,FALSE,90,15,TRUE,TRUE,FALSE,6,800,0,0,200,0,200,200,0
17,FALSE,90,15,TRUE,FALSE,TRUE,6,800,0,0,200,0,200,200,0
18,FALSE,90,15,TRUE,TRUE,TRUE,6,800,0,0,200,0,200,200,0
19,FALSE,90,15,FALSE,TRUE,FALSE,2,800,0,0,200,0,200,200,0
20,FALSE,90,15,FALSE,FALSE,TRUE,2,800,0,0,200,0,200,200,0
21,FALSE,90,15,FALSE,TRUE,TRUE,2,800,0,0,200,0,200,200,0
22,FALSE,90,15,FALSE,TRUE,FALSE,6,800,0,0,200,0,200,200,0
23,FALSE,90,15,FALSE,FALSE,TRUE,6,800,0,0,200,0,200,200,0
24,FALSE,90,15,FALSE,TRUE,TRUE,6,800,0,0,200,0,200,200,0
25,TRUE,90,0,TRUE,TRUE,TRUE,2,800,0,0,200,0,200,200,0
26,TRUE,90,0,TRUE,TRUE,TRUE,6,800,0,0,200,0,200,200,0
27,TRUE,90,0,FALSE,TRUE,TRUE,2,800,0,0,200,0,200,200,0
28,TRUE,90,0,FALSE,TRUE,TRUE,6,800,0,0,200,0,200,200,0
29,TRUE,90,15,TRUE,TRUE,TRUE,2,800,0,0,200,0,200,200,0
30,TRUE,90,15,TRUE,TRUE,TRUE,6,800,0,0,200,0,200,200,0
31,TRUE,90,15,FALSE,TRUE,TRUE,2,800,0,0,200,0,200,200,0
32,TRUE,90,15,FALSE,TRUE,TRUE,6,800,0,0,200,0,200,200,0
