round,shuffle_role,period_length,num_subperiods,pure_strategy,show_at_worst,show_best_response,rate_limit,payoff1Aa,payoff1Ab,payoff1Ba,payoff1Bb,payoff2Aa,payoff2Ab,payoff2Ba,payoff2Bb
1,TRUE,60,10,TRUE,FALSE,FALSE,0,450,0,350,400,450,350,0,400
2,TRUE,60,10,TRUE,FALSE,FALSE,0,450,0,350,400,450,350,0,400
3,TRUE,60,10,TRUE,FALSE,FALSE,0,450,0,400,200,450,400,0,200
4,TRUE,60,10,TRUE,FALSE,FALSE,0,450,0,400,200,450,400,0,200
5,TRUE,60,10,TRUE,FALSE,FALSE,0,450,0,420,120,450,420,0,120
6,TRUE,60,10,TRUE,FALSE,FALSE,0,450,0,420,120,450,420,0,120
7,TRUE,60,10,FALSE,FALSE,FALSE,0,450,0,350,400,450,350,0,400
8,TRUE,60,10,FALSE,FALSE,FALSE,0,450,0,350,400,450,350,0,400
9,TRUE,60,10,FALSE,FALSE,FALSE,0,450,0,400,200,450,400,0,200
10,TRUE,60,10,FALSE,FALSE,FALSE,0,450,0,400,200,450,400,0,200
11,TRUE,60,10,FALSE,FALSE,FALSE,0,450,0,420,120,450,420,0,120
12,TRUE,60,10,FALSE,FALSE,FALSE,0,450,0,420,120,450,420,0,120
13,TRUE,60,0,TRUE,FALSE,FALSE,0,450,0,350,400,450,350,0,400
14,TRUE,60,0,TRUE,FALSE,FALSE,0,450,0,350,400,450,350,0,400
15,TRUE,60,0,TRUE,FALSE,FALSE,0,450,0,400,200,450,400,0,200
16,TRUE,60,0,TRUE,FALSE,FALSE,0,450,0,400,200,450,400,0,200
17,TRUE,60,0,TRUE,FALSE,FALSE,0,450,0,420,120,450,420,0,120
18,TRUE,60,0,TRUE,FALSE,FALSE,0,450,0,420,120,450,420,0,120
19,TRUE,60,0,FALSE,FALSE,FALSE,0,450,0,350,400,450,350,0,400
20,TRUE,60,0,FALSE,FALSE,FALSE,0,450,0,350,400,450,350,0,400
21,TRUE,60,0,FALSE,FALSE,FALSE,0,450,0,400,200,450,400,0,200
22,TRUE,60,0,FALSE,FALSE,FALSE,0,450,0,400,200,450,400,0,200
23,TRUE,60,0,FALSE,FALSE,FALSE,0,450,0,420,120,450,420,0,120
24,TRUE,60,0,FALSE,FALSE,FALSE,0,450,0,420,120,450,420,0,120
25,TRUE,60,10,TRUE,FALSE,FALSE,0,450,0,350,400,450,350,0,400
26,TRUE,60,10,TRUE,FALSE,FALSE,0,450,0,400,200,450,400,0,200
27,TRUE,60,10,TRUE,FALSE,FALSE,0,450,0,420,120,450,420,0,120
28,TRUE,60,10,FALSE,FALSE,FALSE,0,450,0,420,120,450,420,0,120
29,TRUE,60,10,FALSE,FALSE,FALSE,0,450,0,400,200,450,400,0,200
30,TRUE,60,10,FALSE,FALSE,FALSE,0,450,0,350,400,450,350,0,400
31,TRUE,60,0,TRUE,FALSE,FALSE,0,450,0,350,400,450,350,0,400
32,TRUE,60,0,TRUE,FALSE,FALSE,0,450,0,400,200,450,400,0,200
33,TRUE,60,0,TRUE,FALSE,FALSE,0,450,0,420,120,450,420,0,120
34,TRUE,60,0,FALSE,FALSE,FALSE,0,450,0,420,120,450,420,0,120
35,TRUE,60,0,FALSE,FALSE,FALSE,0,450,0,400,200,450,400,0,200
36,TRUE,60,0,FALSE,FALSE,FALSE,0,450,0,350,400,450,350,0,400
