round,shuffle_role,period_length,num_subperiods,pure_strategy,show_at_worst,show_best_response,rate_limit,mean_matching,payoff1Aa,payoff1Ab,payoff1Ba,payoff1Bb,payoff2Aa,payoff2Ab,payoff2Ba,payoff2Bb
1,TRUE,60,10,TRUE,FALSE,FALSE,0,FALSE,400,0,0,40,40,0,0,400
2,TRUE,60,10,TRUE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400
3,TRUE,60,10,TRUE,FALSE,FALSE,0,FALSE,400,0,0,280,280,0,0,400
4,TRUE,60,10,FALSE,FALSE,FALSE,0,FALSE,400,0,0,280,280,0,0,400
5,TRUE,60,10,FALSE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400
6,TRUE,60,10,FALSE,FALSE,FALSE,0,FALSE,400,0,0,40,40,0,0,400
7,TRUE,60,0,TRUE,FALSE,FALSE,0,FALSE,400,0,0,40,40,0,0,400
8,TRUE,60,0,TRUE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400
9,TRUE,60,0,TRUE,FALSE,FALSE,0,FALSE,400,0,0,280,280,0,0,400
10,TRUE,60,0,FALSE,FALSE,FALSE,0,FALSE,400,0,0,280,280,0,0,400
11,TRUE,60,0,FALSE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400
12,TRUE,60,0,FALSE,FALSE,FALSE,0,FALSE,400,0,0,40,40,0,0,400
13,TRUE,60,0,FALSE,FALSE,FALSE,0,FALSE,400,0,0,40,40,0,0,400
14,TRUE,60,0,FALSE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400
15,TRUE,60,0,FALSE,FALSE,FALSE,0,FALSE,400,0,0,280,280,0,0,400
16,TRUE,60,0,TRUE,FALSE,FALSE,0,FALSE,400,0,0,280,280,0,0,400
17,TRUE,60,0,TRUE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400
18,TRUE,60,0,TRUE,FALSE,FALSE,0,FALSE,400,0,0,40,40,0,0,400
19,TRUE,60,10,FALSE,FALSE,FALSE,0,FALSE,400,0,0,40,40,0,0,400
20,TRUE,60,10,FALSE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400
21,TRUE,60,10,FALSE,FALSE,FALSE,0,FALSE,400,0,0,280,280,0,0,400
22,TRUE,60,10,TRUE,FALSE,FALSE,0,FALSE,400,0,0,280,280,0,0,400
23,TRUE,60,10,TRUE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400
24,TRUE,60,10,TRUE,FALSE,FALSE,0,FALSE,400,0,0,40,40,0,0,400
25,TRUE,60,10,TRUE,FALSE,FALSE,0,FALSE,400,0,0,40,40,0,0,400
26,TRUE,60,10,TRUE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400
27,TRUE,60,10,TRUE,FALSE,FALSE,0,FALSE,400,0,0,280,280,0,0,400
28,TRUE,60,10,FALSE,FALSE,FALSE,0,FALSE,400,0,0,280,280,0,0,400
29,TRUE,60,10,FALSE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400
30,TRUE,60,10,FALSE,FALSE,FALSE,0,FALSE,400,0,0,40,40,0,0,400
31,TRUE,60,0,TRUE,FALSE,FALSE,0,FALSE,400,0,0,40,40,0,0,400
32,TRUE,60,0,TRUE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400
33,TRUE,60,0,TRUE,FALSE,FALSE,0,FALSE,400,0,0,280,280,0,0,400
34,TRUE,60,0,FALSE,FALSE,FALSE,0,FALSE,400,0,0,280,280,0,0,400
35,TRUE,60,0,FALSE,FALSE,FALSE,0,FALSE,400,0,0,160,160,0,0,400
36,TRUE,60,0,FALSE,FALSE,FALSE,0,FALSE,400,0,0,40,40,0,0,400
