round,shuffle_role,period_length,num_subperiods,pure_strategy,show_at_worst,show_best_response,rate_limit,mean_matching,payoff1Aa,payoff1Ab,payoff1Ba,payoff1Bb,payoff2Aa,payoff2Ab,payoff2Ba,payoff2Bb
1,TRUE,60,10,TRUE,FALSE,FALSE,0,FALSE,450,0,420,120,450,420,0,120
2,TRUE,60,10,TRUE,FALSE,FALSE,0,FALSE,450,0,400,200,450,400,0,200
3,TRUE,60,10,TRUE,FALSE,FALSE,0,FALSE,450,0,350,400,450,350,0,400
4,TRUE,60,10,FALSE,FALSE,FALSE,0,FALSE,450,0,350,400,450,350,0,400
5,TRUE,60,10,FALSE,FALSE,FALSE,0,FALSE,450,0,400,200,450,400,0,200
6,TRUE,60,10,FALSE,FALSE,FALSE,0,FALSE,450,0,420,120,450,420,0,120
7,TRUE,60,0,TRUE,FALSE,FALSE,0,FALSE,450,0,420,120,450,420,0,120
8,TRUE,60,0,TRUE,FALSE,FALSE,0,FALSE,450,0,400,200,450,400,0,200
9,TRUE,60,0,TRUE,FALSE,FALSE,0,FALSE,450,0,350,400,450,350,0,400
10,TRUE,60,0,FALSE,FALSE,FALSE,0,FALSE,450,0,350,400,450,350,0,400
11,TRUE,60,0,FALSE,FALSE,FALSE,0,FALSE,450,0,400,200,450,400,0,200
12,TRUE,60,0,FALSE,FALSE,FALSE,0,FALSE,450,0,420,120,450,420,0,120
13,TRUE,60,0,FALSE,FALSE,FALSE,0,FALSE,450,0,420,120,450,420,0,120
14,TRUE,60,0,FALSE,FALSE,FALSE,0,FALSE,450,0,400,200,450,400,0,200
15,TRUE,60,0,FALSE,FALSE,FALSE,0,FALSE,450,0,350,400,450,350,0,400
16,TRUE,60,0,TRUE,FALSE,FALSE,0,FALSE,450,0,350,400,450,350,0,400
17,TRUE,60,0,TRUE,FALSE,FALSE,0,FALSE,450,0,400,200,450,400,0,200
18,TRUE,60,0,TRUE,FALSE,FALSE,0,FALSE,450,0,420,120,450,420,0,120
19,TRUE,60,10,FALSE,FALSE,FALSE,0,FALSE,450,0,420,120,450,420,0,120
20,TRUE,60,10,FALSE,FALSE,FALSE,0,FALSE,450,0,400,200,450,400,0,200
21,TRUE,60,10,FALSE,FALSE,FALSE,0,FALSE,450,0,350,400,450,350,0,400
22,TRUE,60,10,TRUE,FALSE,FALSE,0,FALSE,450,0,350,400,450,350,0,400
23,TRUE,60,10,TRUE,FALSE,FALSE,0,FALSE,450,0,400,200,450,400,0,200
24,TRUE,60,10,TRUE,FALSE,FALSE,0,FALSE,450,0,420,120,450,420,0,120
25,TRUE,60,10,TRUE,FALSE,FALSE,0,FALSE,450,0,420,120,450,420,0,120
26,TRUE,60,10,TRUE,FALSE,FALSE,0,FALSE,450,0,400,200,450,400,0,200
27,TRUE,60,10,TRUE,FALSE,FALSE,0,FALSE,450,0,350,400,450,350,0,400
28,TRUE,60,10,FALSE,FALSE,FALSE,0,FALSE,450,0,350,400,450,350,0,400
29,TRUE,60,10,FALSE,FALSE,FALSE,0,FALSE,450,0,400,200,450,400,0,200
30,TRUE,60,10,FALSE,FALSE,FALSE,0,FALSE,450,0,420,120,450,420,0,120
31,TRUE,60,0,TRUE,FALSE,FALSE,0,FALSE,450,0,420,120,450,420,0,120
32,TRUE,60,0,TRUE,FALSE,FALSE,0,FALSE,450,0,400,200,450,400,0,200
33,TRUE,60,0,TRUE,FALSE,FALSE,0,FALSE,450,0,350,400,450,350,0,400
34,TRUE,60,0,FALSE,FALSE,FALSE,0,FALSE,450,0,350,400,450,350,0,400
35,TRUE,60,0,FALSE,FALSE,FALSE,0,FALSE,450,0,400,200,450,400,0,200
36,TRUE,60,0,FALSE,FALSE,FALSE,0,FALSE,450,0,420,120,450,420,0,120
