round,shuffle_role,period_length,num_subperiods,pure_strategy,show_at_worst,show_best_response,rate_limit,mean_matching,payoff1Aa,payoff1Ab,payoff1Ba,payoff1Bb,payoff2Aa,payoff2Ab,payoff2Ba,payoff2Bb
1,TRUE,90,15,TRUE,FALSE,FALSE,4,FALSE,800,0,0,200,0,200,200,0
2,TRUE,90,15,FALSE,FALSE,FALSE,4,FALSE,800,0,0,200,0,200,200,0
3,TRUE,90,15,FALSE,FALSE,FALSE,4,FALSE,300,100,100,700,100,300,200,100
4,TRUE,90,15,TRUE,FALSE,FALSE,4,FALSE,300,100,100,700,100,300,200,100
5,TRUE,90,0,TRUE,FALSE,FALSE,4,FALSE,800,0,0,200,0,200,200,0
6,TRUE,90,0,FALSE,FALSE,FALSE,4,FALSE,800,0,0,200,0,200,200,0
7,TRUE,90,0,FALSE,FALSE,FALSE,4,FALSE,300,100,100,700,100,300,200,100
8,TRUE,90,0,TRUE,FALSE,FALSE,4,FALSE,300,100,100,700,100,300,200,100
9,TRUE,90,15,FALSE,FALSE,TRUE,4,FALSE,800,0,0,200,0,200,200,0
10,TRUE,90,15,FALSE,FALSE,TRUE,4,FALSE,300,100,100,700,100,300,200,100
11,TRUE,90,0,FALSE,FALSE,TRUE,4,FALSE,800,0,0,200,0,200,200,0
12,TRUE,90,0,FALSE,FALSE,TRUE,4,FALSE,300,100,100,700,100,300,200,100
13,TRUE,90,15,FALSE,TRUE,FALSE,4,FALSE,800,0,0,200,0,200,200,0
14,TRUE,90,15,FALSE,TRUE,FALSE,4,FALSE,300,100,100,700,100,300,200,100
15,TRUE,90,0,FALSE,TRUE,FALSE,4,FALSE,800,0,0,200,0,200,200,0
16,TRUE,90,0,FALSE,TRUE,FALSE,4,FALSE,300,100,100,700,100,300,200,100
17,TRUE,90,15,TRUE,FALSE,FALSE,4,TRUE,800,0,0,200,0,200,200,0
18,TRUE,90,15,FALSE,FALSE,FALSE,4,TRUE,800,0,0,200,0,200,200,0
19,TRUE,90,15,FALSE,FALSE,FALSE,4,TRUE,300,100,100,700,100,300,200,100
20,TRUE,90,15,TRUE,FALSE,FALSE,4,TRUE,300,100,100,700,100,300,200,100
21,TRUE,90,0,TRUE,FALSE,FALSE,4,TRUE,800,0,0,200,0,200,200,0
22,TRUE,90,0,FALSE,FALSE,FALSE,4,TRUE,800,0,0,200,0,200,200,0
23,TRUE,90,0,FALSE,FALSE,FALSE,4,TRUE,300,100,100,700,100,300,200,100
24,TRUE,90,0,TRUE,FALSE,FALSE,4,TRUE,300,100,100,700,100,300,200,100
25,TRUE,90,15,TRUE,FALSE,FALSE,4,TRUE,200,0,400,200,500,600,300,100
26,TRUE,90,15,FALSE,FALSE,FALSE,4,TRUE,200,0,400,200,500,600,300,100
27,TRUE,90,0,FALSE,FALSE,FALSE,4,TRUE,200,0,400,200,500,600,300,100
28,TRUE,90,0,TRUE,FALSE,FALSE,4,TRUE,200,0,400,200,500,600,300,100
29,TRUE,90,15,TRUE,FALSE,FALSE,4,TRUE,300,0,500,100,300,500,0,100
30,TRUE,90,15,FALSE,FALSE,FALSE,4,TRUE,300,0,500,100,300,500,0,100
31,TRUE,90,0,FALSE,FALSE,FALSE,4,TRUE,300,0,500,100,300,500,0,100
32,TRUE,90,0,TRUE,FALSE,FALSE,4,TRUE,300,0,500,100,300,500,0,100
