round,shuffle_role,period_length,num_subperiods,pure_strategy,show_at_worst,show_best_response,rate_limit,mean_matching,payoff1Aa,payoff1Ab,payoff1Ba,payoff1Bb,payoff2Aa,payoff2Ab,payoff2Ba,payoff2Bb
1,TRUE,90,15,TRUE,FALSE,FALSE,4,TRUE,800,0,0,200,0,200,200,0
2,TRUE,90,15,FALSE,FALSE,FALSE,4,TRUE,800,0,0,200,0,200,200,0
3,TRUE,90,15,FALSE,FALSE,FALSE,4,TRUE,300,100,100,700,100,300,200,100
4,TRUE,90,15,TRUE,FALSE,FALSE,4,TRUE,300,100,100,700,100,300,200,100
5,TRUE,90,0,TRUE,FALSE,FALSE,4,TRUE,800,0,0,200,0,200,200,0
6,TRUE,150,0,FALSE,FALSE,FALSE,4,TRUE,800,0,0,200,0,200,200,0
7,TRUE,150,0,FALSE,FALSE,FALSE,4,TRUE,300,100,100,700,100,300,200,100
8,TRUE,90,0,TRUE,FALSE,FALSE,4,TRUE,300,100,100,700,100,300,200,100
9,TRUE,90,0,TRUE,FALSE,FALSE,4,TRUE,300,0,500,100,300,500,0,100
10,TRUE,90,15,TRUE,FALSE,FALSE,4,TRUE,300,0,500,100,300,500,0,100
11,TRUE,150,25,FALSE,FALSE,FALSE,4,TRUE,800,0,0,200,0,200,200,0
12,TRUE,150,25,FALSE,FALSE,FALSE,4,TRUE,300,100,100,700,100,300,200,100
13,TRUE,150,0,FALSE,FALSE,FALSE,4,TRUE,300,100,100,700,100,300,200,100
14,TRUE,150,0,FALSE,FALSE,FALSE,4,TRUE,800,0,0,200,0,200,200,0
15,TRUE,150,0,FALSE,FALSE,FALSE,4,TRUE,800,0,0,200,0,200,200,0
16,TRUE,90,0,FALSE,FALSE,FALSE,4,TRUE,300,0,500,100,300,500,0,100
17,TRUE,90,15,FALSE,FALSE,FALSE,4,TRUE,300,0,500,100,300,500,0,100
18,TRUE,150,25,FALSE,FALSE,FALSE,4,TRUE,800,0,0,200,0,200,200,0
19,TRUE,150,25,FALSE,FALSE,FALSE,4,TRUE,300,100,100,700,100,300,200,100
